Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
SRR9205608.asm1	g__Bacteroides (UID2691)	33	839	309	2	836	1	0	0	0	99.51	0.04	0.00
SRR9205614.asm1	g__Bacteroides (UID2691)	33	839	309	2	836	1	0	0	0	99.51	0.04	0.00
SRR9205618.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9205619.asm1	k__Bacteria (UID203)	5449	104	58	0	44	59	1	0	0	100.00	56.05	0.00
SRR9205621.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	295	16	0	0	0	98.80	5.61	93.75
SRR9205623.asm1	p__Bacteroidetes (UID2605)	350	314	208	2	311	1	0	0	0	99.28	0.48	0.00
SRR9205625.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9205626.asm1	g__Bacteroides (UID2691)	33	839	309	4	835	0	0	0	0	99.14	0.00	0.00
SRR9205627.asm1	g__Bacteroides (UID2691)	33	839	309	3	835	1	0	0	0	99.46	0.08	0.00
SRR9205629.asm1	o__Bacteroidales (UID2657)	160	492	269	2	490	0	0	0	0	99.26	0.00	0.00
SRR9205633.asm1	o__Bacteroidales (UID2657)	160	492	269	2	490	0	0	0	0	99.26	0.00	0.00
SRR9205634.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9205638.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9205640.asm1	o__Bacteroidales (UID2657)	160	492	269	2	490	0	0	0	0	99.26	0.00	0.00
SRR9205642.asm1	o__Bacteroidales (UID2657)	160	492	269	2	490	0	0	0	0	99.26	0.00	0.00
SRR9205655.asm1	g__Bacteroides (UID2691)	33	839	309	3	835	1	0	0	0	99.46	0.08	0.00
SRR9205656.asm1	g__Bacteroides (UID2691)	33	839	309	3	835	1	0	0	0	99.46	0.08	0.00
SRR9205657.asm1	g__Bacteroides (UID2691)	33	839	309	3	835	1	0	0	0	99.48	0.04	0.00
SRR9205666.asm1	o__Bacteroidales (UID2654)	163	486	266	2	483	1	0	0	0	99.25	0.19	0.00
SRR9205668.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9205675.asm1	g__Bacteroides (UID2691)	33	839	309	3	836	0	0	0	0	99.46	0.00	0.00
SRR9205683.asm1	o__Bacteroidales (UID2657)	160	492	269	2	490	0	0	0	0	99.26	0.00	0.00
SRR9205684.asm1	o__Bacteroidales (UID2657)	160	492	269	3	489	0	0	0	0	99.16	0.00	0.00
SRR9205686.asm1	o__Bacteroidales (UID2657)	160	492	269	2	487	3	0	0	0	99.26	0.33	0.00
SRR9205688.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9205690.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9205691.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9205693.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9205694.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9205695.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9205696.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9205697.asm1	p__Bacteroidetes (UID2605)	350	314	208	2	311	1	0	0	0	99.28	0.48	0.00
SRR9205698.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9205699.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9205701.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9205702.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9205703.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9205705.asm1	p__Bacteroidetes (UID2605)	350	314	208	2	311	1	0	0	0	99.28	0.48	0.00
SRR9205708.asm1	o__Bacteroidales (UID2657)	160	492	269	2	486	4	0	0	0	99.26	0.99	0.00
SRR9205709.asm1	g__Bacteroides (UID2691)	33	839	309	4	835	0	0	0	0	99.14	0.00	0.00
SRR9205712.asm1	g__Bacteroides (UID2691)	33	839	309	4	835	0	0	0	0	99.14	0.00	0.00
SRR9205715.asm1	g__Bacteroides (UID2691)	33	839	309	5	834	0	0	0	0	99.10	0.00	0.00
SRR9205716.asm1	g__Bacteroides (UID2691)	33	839	309	4	835	0	0	0	0	99.14	0.00	0.00
SRR9205717.asm1	g__Bacteroides (UID2691)	33	839	309	5	834	0	0	0	0	99.10	0.00	0.00
SRR9205718.asm1	g__Bacteroides (UID2691)	33	839	309	4	835	0	0	0	0	99.14	0.00	0.00
SRR9205720.asm1	g__Bacteroides (UID2691)	33	839	309	4	835	0	0	0	0	99.14	0.00	0.00
SRR9205724.asm1	g__Bacteroides (UID2691)	33	839	309	3	835	1	0	0	0	99.46	0.08	0.00
SRR9205746.asm1	o__Bacteroidales (UID2657)	160	492	269	5	486	1	0	0	0	98.65	0.37	0.00
SRR9205747.asm1	g__Bacteroides (UID2691)	33	839	309	4	835	0	0	0	0	99.14	0.00	0.00
SRR9205748.asm1	g__Bacteroides (UID2691)	33	839	309	4	835	0	0	0	0	99.14	0.00	0.00
SRR9205751.asm1	g__Bacteroides (UID2691)	33	839	309	4	835	0	0	0	0	99.14	0.00	0.00
SRR9205753.asm1	g__Bacteroides (UID2691)	33	839	309	4	835	0	0	0	0	99.14	0.00	0.00
SRR9205756.asm1	g__Bacteroides (UID2691)	33	839	309	4	835	0	0	0	0	99.14	0.00	0.00
SRR9205757.asm1	g__Bacteroides (UID2691)	33	839	309	4	835	0	0	0	0	99.14	0.00	0.00
SRR9205770.asm1	g__Bacteroides (UID2691)	33	839	309	4	828	7	0	0	0	99.24	1.19	14.29
SRR9205772.asm1	g__Bacteroides (UID2691)	33	839	309	4	828	7	0	0	0	99.24	1.19	14.29
SRR9205777.asm1	g__Bacteroides (UID2691)	33	839	309	7	830	2	0	0	0	98.89	0.12	0.00
SRR9205781.asm1	g__Bacteroides (UID2691)	33	839	309	3	835	1	0	0	0	99.46	0.08	0.00
SRR9205783.asm1	g__Bacteroides (UID2691)	33	839	309	3	835	1	0	0	0	99.46	0.08	0.00
SRR9205791.asm1	g__Bacteroides (UID2691)	33	839	309	3	835	1	0	0	0	99.46	0.08	0.00
SRR9205796.asm1	g__Bacteroides (UID2691)	33	839	309	3	835	1	0	0	0	99.46	0.08	0.00
SRR9205802.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9205804.asm1	p__Bacteroidetes (UID2605)	350	314	208	2	311	1	0	0	0	99.28	0.48	0.00
SRR9205807.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9205809.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9205810.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	297	14	0	0	0	98.80	5.29	92.86
SRR9205813.asm1	o__Bacteroidales (UID2657)	160	492	269	2	490	0	0	0	0	99.26	0.00	0.00
SRR9205817.asm1	o__Bacteroidales (UID2657)	160	492	269	2	490	0	0	0	0	99.26	0.00	0.00
SRR9205822.asm1	o__Bacteroidales (UID2657)	160	492	269	2	490	0	0	0	0	99.26	0.00	0.00
SRR9205826.asm1	g__Bacteroides (UID2691)	33	839	309	4	835	0	0	0	0	99.14	0.00	0.00
SRR9205827.asm1	g__Bacteroides (UID2691)	33	839	309	4	835	0	0	0	0	99.14	0.00	0.00
SRR9205836.asm1	o__Bacteroidales (UID2657)	160	492	269	2	490	0	0	0	0	99.26	0.00	0.00
SRR9205838.asm1	o__Bacteroidales (UID2657)	160	492	269	2	490	0	0	0	0	99.26	0.00	0.00
SRR9205841.asm1	k__Bacteria (UID203)	5449	103	58	0	1	19	78	2	3	100.00	199.43	33.22
SRR9205843.asm1	g__Bacteroides (UID2691)	33	839	309	4	834	1	0	0	0	99.14	0.32	0.00
SRR9205864.asm1	o__Bacteroidales (UID2654)	163	486	266	2	396	88	0	0	0	99.25	19.13	15.91
SRR9205866.asm1	o__Bacteroidales (UID2654)	163	486	266	2	483	1	0	0	0	99.25	0.19	0.00
SRR9205872.asm1	o__Bacteroidales (UID2657)	160	492	269	2	478	12	0	0	0	99.26	2.21	16.67
SRR9205875.asm1	k__Bacteria (UID203)	5449	104	58	0	54	50	0	0	0	100.00	34.06	0.00
SRR9205876.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9205879.asm1	o__Bacteroidales (UID2657)	160	492	269	2	490	0	0	0	0	99.26	0.00	0.00
SRR9205884.asm1	o__Bacteroidales (UID2657)	160	492	269	2	490	0	0	0	0	99.26	0.00	0.00
SRR9205885.asm1	g__Bacteroides (UID2691)	33	839	309	5	834	0	0	0	0	99.10	0.00	0.00
SRR9205890.asm1	o__Bacteroidales (UID2657)	160	492	269	2	490	0	0	0	0	99.26	0.00	0.00
SRR9205896.asm1	g__Bacteroides (UID2691)	33	839	309	3	835	1	0	0	0	99.46	0.08	0.00
SRR9205905.asm1	o__Bacteroidales (UID2657)	160	492	269	2	490	0	0	0	0	99.26	0.00	0.00
SRR9205910.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9205911.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9205914.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9205920.asm1	o__Bacteroidales (UID2657)	160	491	269	2	489	0	0	0	0	99.26	0.00	0.00
SRR9205921.asm1	o__Bacteroidales (UID2657)	160	491	269	2	487	2	0	0	0	99.26	0.21	0.00
SRR9205925.asm1	g__Bacteroides (UID2691)	33	839	309	3	835	1	0	0	0	99.46	0.08	0.00
SRR9205927.asm1	g__Bacteroides (UID2691)	33	839	309	3	835	1	0	0	0	99.46	0.08	0.00
SRR9205930.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9205931.asm1	o__Bacteroidales (UID2657)	160	492	269	2	487	3	0	0	0	99.26	0.33	0.00
SRR9205933.asm1	o__Bacteroidales (UID2657)	160	492	269	2	487	3	0	0	0	99.26	0.33	0.00
SRR9205936.asm1	o__Bacteroidales (UID2657)	160	492	269	2	487	3	0	0	0	99.26	0.33	0.00
SRR9205939.asm1	o__Bacteroidales (UID2657)	160	492	269	2	487	3	0	0	0	99.26	0.33	0.00
SRR9205940.asm1	o__Bacteroidales (UID2657)	160	492	269	3	486	3	0	0	0	99.16	0.33	0.00
SRR9205943.asm1	g__Bacteroides (UID2691)	33	839	309	10	819	10	0	0	0	98.20	1.11	20.00
SRR9205944.asm1	g__Bacteroides (UID2691)	33	839	309	3	835	1	0	0	0	99.46	0.08	0.00
SRR9205961.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9205963.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9205964.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9205966.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9205971.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9205972.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9205974.asm1	k__Bacteria (UID203)	5449	103	58	0	62	41	0	0	0	100.00	42.03	0.00
SRR9205976.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9205979.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9205980.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9205982.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9205987.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9205990.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9205993.asm1	k__Bacteria (UID2982)	88	229	147	3	226	0	0	0	0	97.96	0.00	0.00
SRR9205994.asm1	k__Bacteria (UID2982)	88	229	147	3	226	0	0	0	0	97.96	0.00	0.00
SRR9205995.asm1	k__Bacteria (UID2982)	88	229	147	3	226	0	0	0	0	97.96	0.00	0.00
SRR9205996.asm1	k__Bacteria (UID2982)	88	229	147	3	226	0	0	0	0	97.96	0.00	0.00
SRR9206002.asm1	k__Bacteria (UID2982)	88	229	147	3	226	0	0	0	0	97.96	0.00	0.00
SRR9206004.asm1	o__Bacteroidales (UID2657)	160	492	269	2	475	15	0	0	0	99.26	3.16	93.33
SRR9206008.asm1	o__Bacteroidales (UID2657)	160	492	269	2	490	0	0	0	0	99.26	0.00	0.00
SRR9206014.asm1	o__Bacteroidales (UID2657)	160	492	269	2	489	1	0	0	0	99.26	0.19	0.00
SRR9206015.asm1	g__Bacteroides (UID2691)	33	839	309	3	686	150	0	0	0	99.46	18.55	64.67
SRR9206021.asm1	g__Bacteroides (UID2691)	33	839	309	3	836	0	0	0	0	99.46	0.00	0.00
SRR9206022.asm1	g__Bacteroides (UID2691)	33	839	309	3	834	2	0	0	0	99.46	0.35	0.00
SRR9206025.asm1	g__Bacteroides (UID2691)	33	839	309	2	836	1	0	0	0	99.51	0.04	0.00
SRR9206026.asm1	g__Bacteroides (UID2691)	33	839	309	2	836	1	0	0	0	99.51	0.04	0.00
SRR9206027.asm1	g__Bacteroides (UID2691)	33	839	309	3	835	1	0	0	0	99.48	0.04	0.00
SRR9206028.asm1	g__Bacteroides (UID2691)	33	839	309	4	835	0	0	0	0	99.14	0.00	0.00
SRR9206030.asm1	g__Bacteroides (UID2691)	33	839	309	2	836	1	0	0	0	99.51	0.04	0.00
SRR9206035.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9206036.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9206042.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9206046.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9206047.asm1	g__Bacteroides (UID2691)	33	839	309	3	835	1	0	0	0	99.46	0.08	0.00
SRR9206066.asm1	o__Bacteroidales (UID2657)	160	492	269	2	490	0	0	0	0	99.26	0.00	0.00
SRR9206067.asm1	o__Bacteroidales (UID2657)	160	492	269	2	490	0	0	0	0	99.26	0.00	0.00
SRR9206068.asm1	o__Bacteroidales (UID2657)	160	492	269	2	490	0	0	0	0	99.26	0.00	0.00
SRR9206076.asm1	g__Bacteroides (UID2691)	33	839	309	3	835	1	0	0	0	99.46	0.08	0.00
SRR9206077.asm1	g__Bacteroides (UID2691)	33	839	309	3	834	2	0	0	0	99.46	0.16	0.00
SRR9206081.asm1	g__Bacteroides (UID2691)	33	839	309	3	835	1	0	0	0	99.46	0.08	0.00
SRR9206082.asm1	g__Bacteroides (UID2691)	33	839	309	3	831	5	0	0	0	99.46	0.70	0.00
SRR9206083.asm1	g__Bacteroides (UID2691)	33	839	309	3	835	1	0	0	0	99.46	0.08	0.00
SRR9206088.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9206099.asm1	p__Bacteroidetes (UID2605)	350	314	208	2	311	1	0	0	0	99.28	0.48	0.00
SRR9206100.asm1	p__Bacteroidetes (UID2605)	350	314	208	2	307	5	0	0	0	99.28	2.40	80.00
SRR9206104.asm1	o__Bacteroidales (UID2657)	160	492	269	2	489	1	0	0	0	99.26	0.12	0.00
SRR9206106.asm1	o__Bacteroidales (UID2657)	160	492	269	2	490	0	0	0	0	99.26	0.00	0.00
SRR9206107.asm1	o__Bacteroidales (UID2657)	160	492	269	2	465	25	0	0	0	99.26	5.58	100.00
SRR9206111.asm1	k__Bacteria (UID203)	5449	104	58	0	23	80	1	0	0	100.00	92.89	77.11
SRR9206118.asm1	g__Bacteroides (UID2691)	33	839	309	3	835	1	0	0	0	99.46	0.08	0.00
SRR9206120.asm1	g__Bacteroides (UID2691)	33	839	309	3	835	1	0	0	0	99.46	0.08	0.00
SRR9206123.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9206125.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9206127.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9206137.asm1	g__Bacteroides (UID2691)	33	839	309	3	832	4	0	0	0	99.46	0.42	0.00
SRR9206140.asm1	g__Bacteroides (UID2691)	33	839	309	3	831	4	1	0	0	99.46	0.58	14.29
SRR9206141.asm1	g__Bacteroides (UID2691)	33	839	309	4	831	4	0	0	0	99.43	0.42	0.00
SRR9206142.asm1	g__Bacteroides (UID2691)	33	839	309	3	754	82	0	0	0	99.46	10.42	9.76
SRR9206143.asm1	g__Bacteroides (UID2691)	33	839	309	3	832	4	0	0	0	99.46	0.42	0.00
SRR9206144.asm1	g__Bacteroides (UID2691)	33	839	309	3	831	5	0	0	0	99.46	0.50	0.00
SRR9206145.asm1	g__Bacteroides (UID2691)	33	839	309	3	835	1	0	0	0	99.46	0.08	0.00
SRR9206146.asm1	g__Bacteroides (UID2691)	33	839	309	7	829	3	0	0	0	99.00	0.29	0.00
SRR9206149.asm1	g__Bacteroides (UID2691)	33	839	309	3	835	1	0	0	0	99.46	0.08	0.00
SRR9206150.asm1	g__Bacteroides (UID2691)	33	839	309	3	835	1	0	0	0	99.46	0.08	0.00
SRR9206155.asm1	g__Bacteroides (UID2691)	33	839	309	3	835	1	0	0	0	99.46	0.08	0.00
SRR9206167.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9206169.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9206170.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	291	20	0	0	0	99.12	7.93	95.00
SRR9206171.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9206178.asm1	o__Bacteroidales (UID2657)	160	492	269	2	490	0	0	0	0	99.26	0.00	0.00
SRR9206179.asm1	g__Bacteroides (UID2691)	33	839	309	3	835	1	0	0	0	99.46	0.08	0.00
SRR9206183.asm1	g__Bacteroides (UID2691)	33	839	309	3	835	1	0	0	0	99.46	0.08	0.00
SRR9206184.asm1	g__Bacteroides (UID2691)	33	839	309	3	835	1	0	0	0	99.46	0.08	0.00
SRR9206185.asm1	g__Bacteroides (UID2691)	33	839	309	3	835	1	0	0	0	99.46	0.08	0.00
SRR9206189.asm1	g__Bacteroides (UID2691)	33	839	309	3	835	1	0	0	0	99.46	0.08	0.00
SRR9206191.asm1	g__Bacteroides (UID2691)	33	839	309	3	835	1	0	0	0	99.46	0.08	0.00
SRR9206195.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9206196.asm1	p__Bacteroidetes (UID2605)	350	314	208	2	311	1	0	0	0	99.28	0.48	0.00
SRR9206197.asm1	g__Bacteroides (UID2691)	33	839	309	3	835	1	0	0	0	99.46	0.08	0.00
SRR9206200.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9206203.asm1	g__Bacteroides (UID2691)	33	839	309	3	830	6	0	0	0	99.46	0.93	0.00
SRR9206206.asm1	g__Bacteroides (UID2691)	33	839	309	4	829	6	0	0	0	99.41	0.46	0.00
SRR9206208.asm1	g__Bacteroides (UID2691)	33	839	309	4	831	4	0	0	0	99.41	0.57	25.00
SRR9206212.asm1	g__Bacillus (UID902)	44	1171	324	4	1165	2	0	0	0	98.92	0.46	0.00
SRR9206214.asm1	g__Bacteroides (UID2691)	33	839	309	4	828	7	0	0	0	99.24	1.19	14.29
SRR9206215.asm1	g__Bacteroides (UID2691)	33	839	309	4	829	6	0	0	0	99.24	0.86	0.00
SRR9206217.asm1	p__Bacteroidetes (UID2605)	350	314	208	2	311	1	0	0	0	99.28	0.48	0.00
SRR9206218.asm1	p__Bacteroidetes (UID2605)	350	314	208	0	302	12	0	0	0	100.00	3.09	0.00
SRR9206220.asm1	g__Bacteroides (UID2691)	33	839	309	103	724	12	0	0	0	85.39	1.35	16.67
SRR9206222.asm1	g__Bacteroides (UID2691)	33	839	309	4	828	7	0	0	0	99.24	1.19	14.29
SRR9206224.asm1	k__Bacteria (UID2982)	88	229	147	3	226	0	0	0	0	97.96	0.00	0.00
SRR9206226.asm1	k__Bacteria (UID2982)	88	229	147	3	226	0	0	0	0	97.96	0.00	0.00
SRR9206234.asm1	o__Bacteroidales (UID2657)	160	492	269	2	489	1	0	0	0	99.26	0.37	0.00
SRR9206235.asm1	o__Bacteroidales (UID2657)	160	492	269	2	489	1	0	0	0	99.26	0.37	0.00
SRR9206245.asm1	g__Bacteroides (UID2691)	33	839	309	4	835	0	0	0	0	99.14	0.00	0.00
SRR9206247.asm1	g__Bacteroides (UID2691)	33	839	309	3	836	0	0	0	0	99.46	0.00	0.00
SRR9206252.asm1	g__Bacteroides (UID2691)	33	839	309	3	835	1	0	0	0	99.46	0.04	0.00
SRR9206254.asm1	root (UID1)	5656	56	24	0	2	53	1	0	0	100.00	92.13	0.00
SRR9206259.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9206269.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9206270.asm1	g__Bacteroides (UID2691)	33	839	309	3	835	1	0	0	0	99.46	0.08	0.00
SRR9206274.asm1	o__Bacteroidales (UID2657)	160	492	269	2	490	0	0	0	0	99.26	0.00	0.00
SRR9206279.asm1	o__Bacteroidales (UID2657)	160	492	269	2	490	0	0	0	0	99.26	0.00	0.00
SRR9206286.asm1	g__Bacteroides (UID2691)	33	839	309	3	834	2	0	0	0	99.46	0.11	0.00
SRR9206290.asm1	g__Bacteroides (UID2691)	33	839	309	3	835	1	0	0	0	99.46	0.08	0.00
SRR9206296.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9206302.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9206303.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9206304.asm1	g__Bacteroides (UID2691)	33	839	309	4	830	5	0	0	0	99.14	0.32	0.00
SRR9206305.asm1	g__Bacteroides (UID2691)	33	839	309	4	829	6	0	0	0	99.14	0.40	0.00
SRR9206312.asm1	g__Bacteroides (UID2691)	33	839	309	3	835	1	0	0	0	99.46	0.08	0.00
SRR9206313.asm1	g__Bacteroides (UID2691)	33	839	309	3	835	1	0	0	0	99.46	0.08	0.00
SRR9206317.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
