assembly,classification,fastani_ani,fastani_af,closest_placement_ani,closest_placement_af,msa_percent,classification_method,species
SRR9205553.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,96.95,0.75,96.95,0.75,97.26,taxonomic classification defined by topology and ANI,Bacteroides ovatus
SRR9205555.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,96.95,0.75,96.95,0.75,97.26,taxonomic classification defined by topology and ANI,Bacteroides ovatus
SRR9205558.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,97.0,0.75,97.0,0.75,97.14,taxonomic classification defined by topology and ANI,Bacteroides ovatus
SRR9205559.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,96.91,0.75,96.91,0.75,97.14,taxonomic classification defined by topology and ANI,Bacteroides ovatus
SRR9205560.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,96.98,0.75,96.98,0.75,97.14,taxonomic classification defined by topology and ANI,Bacteroides ovatus
SRR9205562.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,96.94,0.75,96.94,0.75,97.26,taxonomic classification defined by topology and ANI,Bacteroides ovatus
SRR9205563.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron,98.97,0.83,98.97,0.83,96.49,taxonomic classification defined by topology and ANI,Bacteroides thetaiotaomicron
SRR9205571.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides caccae,99.3,0.88,99.3,0.88,97.3,taxonomic classification defined by topology and ANI,Bacteroides caccae
SRR9205572.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides caccae,99.28,0.88,99.28,0.88,97.3,taxonomic classification defined by topology and ANI,Bacteroides caccae
SRR9205575.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides caccae,99.28,0.88,99.28,0.88,97.3,taxonomic classification defined by topology and ANI,Bacteroides caccae
SRR9205578.asm1,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila,97.56,0.91,97.56,0.91,92.69,taxonomic classification defined by topology and ANI,Akkermansia muciniphila
SRR9205580.asm1,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila,97.57,0.91,97.57,0.91,92.69,taxonomic classification defined by topology and ANI,Akkermansia muciniphila
SRR9205581.asm1,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila,97.54,0.91,97.54,0.91,92.69,taxonomic classification defined by topology and ANI,Akkermansia muciniphila
SRR9205582.asm1,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila,97.55,0.91,97.55,0.91,78.38,taxonomic classification defined by topology and ANI,Akkermansia muciniphila
SRR9205586.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,96.94,0.75,96.94,0.75,97.26,taxonomic classification defined by topology and ANI,Bacteroides ovatus
SRR9205593.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,97.09,0.75,N/A,N/A,98.11,ANI,Bacteroides ovatus
SRR9205598.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,96.77,0.74,96.77,0.74,98.07,taxonomic classification defined by topology and ANI,Bacteroides ovatus
SRR9205599.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,96.77,0.74,96.77,0.74,98.07,taxonomic classification defined by topology and ANI,Bacteroides ovatus
SRR9205603.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,96.75,0.74,96.75,0.74,98.07,taxonomic classification defined by topology and ANI,Bacteroides ovatus
SRR9205606.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,98.49,0.86,98.49,0.86,97.24,taxonomic classification defined by topology and ANI,Bacteroides ovatus
SRR9205608.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,98.48,0.87,98.48,0.87,97.24,taxonomic classification defined by topology and ANI,Bacteroides ovatus
SRR9205614.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,98.52,0.86,98.52,0.86,97.24,taxonomic classification defined by topology and ANI,Bacteroides ovatus
SRR9205618.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.26,0.84,97.26,0.84,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9205619.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.25,0.77,97.25,0.77,42.86,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9205621.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.23,0.82,97.23,0.82,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9205623.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.18,0.85,97.18,0.85,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9205625.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.23,0.84,97.23,0.84,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9205626.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,96.95,0.75,96.95,0.75,97.26,taxonomic classification defined by topology and ANI,Bacteroides ovatus
SRR9205627.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron,98.99,0.83,98.99,0.83,96.49,taxonomic classification defined by topology and ANI,Bacteroides thetaiotaomicron
SRR9205629.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis,98.66,0.82,98.66,0.82,96.13,taxonomic classification defined by topology and ANI,Bacteroides fragilis
SRR9205633.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis,99.09,0.87,99.09,0.87,96.15,taxonomic classification defined by topology and ANI,Bacteroides fragilis
SRR9205634.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.27,0.84,97.27,0.84,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9205638.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.18,0.85,97.18,0.85,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9205640.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis,99.04,0.87,99.04,0.87,96.15,taxonomic classification defined by topology and ANI,Bacteroides fragilis
SRR9205642.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis,99.04,0.87,99.04,0.87,96.15,taxonomic classification defined by topology and ANI,Bacteroides fragilis
SRR9205655.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron,98.99,0.84,98.99,0.84,96.49,taxonomic classification defined by topology and ANI,Bacteroides thetaiotaomicron
SRR9205656.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron,98.98,0.84,98.98,0.84,96.49,taxonomic classification defined by topology and ANI,Bacteroides thetaiotaomicron
SRR9205657.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,98.49,0.86,98.49,0.86,97.14,taxonomic classification defined by topology and ANI,Bacteroides ovatus
SRR9205666.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola dorei,99.05,0.87,99.05,0.87,98.07,taxonomic classification defined by topology and ANI,Phocaeicola dorei
SRR9205668.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.22,0.84,97.22,0.84,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9205675.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,96.78,0.74,96.78,0.74,98.07,taxonomic classification defined by topology and ANI,Bacteroides ovatus
SRR9205683.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides salyersiae,98.97,0.88,98.97,0.88,96.47,taxonomic classification defined by topology and ANI,Bacteroides salyersiae
SRR9205684.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides salyersiae,99.0,0.88,99.0,0.88,96.41,taxonomic classification defined by topology and ANI,Bacteroides salyersiae
SRR9205686.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides salyersiae,99.08,0.89,99.08,0.89,96.47,taxonomic classification defined by topology and ANI,Bacteroides salyersiae
SRR9205688.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.24,0.84,97.24,0.84,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9205690.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.26,0.84,97.26,0.84,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9205691.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.17,0.85,97.17,0.85,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9205693.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.27,0.84,97.27,0.84,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9205694.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.2,0.84,97.2,0.84,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9205695.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.27,0.84,97.27,0.84,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9205696.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.23,0.84,97.23,0.84,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9205697.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.25,0.84,97.25,0.84,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9205698.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.19,0.84,97.19,0.84,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9205699.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.2,0.84,97.2,0.84,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9205701.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.22,0.84,97.22,0.84,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9205702.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.22,0.84,97.22,0.84,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9205703.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.29,0.84,97.29,0.84,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9205705.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.22,0.84,97.22,0.84,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9205708.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides stercoris,98.29,0.75,98.29,0.75,96.39,taxonomic classification defined by topology and ANI,Bacteroides stercoris
SRR9205709.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,96.95,0.75,96.95,0.75,97.26,taxonomic classification defined by topology and ANI,Bacteroides ovatus
SRR9205712.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,96.9,0.75,96.9,0.75,97.26,taxonomic classification defined by topology and ANI,Bacteroides ovatus
SRR9205715.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,96.92,0.75,96.92,0.75,97.26,taxonomic classification defined by topology and ANI,Bacteroides ovatus
SRR9205716.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,96.96,0.75,96.96,0.75,97.26,taxonomic classification defined by topology and ANI,Bacteroides ovatus
SRR9205717.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,96.95,0.75,96.95,0.75,97.26,taxonomic classification defined by topology and ANI,Bacteroides ovatus
SRR9205718.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,96.94,0.75,96.94,0.75,97.14,taxonomic classification defined by topology and ANI,Bacteroides ovatus
SRR9205720.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,96.96,0.75,96.96,0.75,97.26,taxonomic classification defined by topology and ANI,Bacteroides ovatus
SRR9205724.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron,99.0,0.85,99.0,0.85,96.49,taxonomic classification defined by topology and ANI,Bacteroides thetaiotaomicron
SRR9205746.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis,98.99,0.88,98.99,0.88,95.49,taxonomic classification defined by topology and ANI,Bacteroides fragilis
SRR9205747.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,96.94,0.75,96.94,0.75,97.14,taxonomic classification defined by topology and ANI,Bacteroides ovatus
SRR9205748.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,96.95,0.75,96.95,0.75,97.14,taxonomic classification defined by topology and ANI,Bacteroides ovatus
SRR9205751.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,97.0,0.75,97.0,0.75,97.26,taxonomic classification defined by topology and ANI,Bacteroides ovatus
SRR9205753.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,96.91,0.75,96.91,0.75,97.26,taxonomic classification defined by topology and ANI,Bacteroides ovatus
SRR9205756.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,96.94,0.75,96.94,0.75,97.26,taxonomic classification defined by topology and ANI,Bacteroides ovatus
SRR9205757.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,96.98,0.75,96.98,0.75,97.26,taxonomic classification defined by topology and ANI,Bacteroides ovatus
SRR9205770.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides caccae,99.28,0.88,99.28,0.88,97.18,taxonomic classification defined by topology and ANI,Bacteroides caccae
SRR9205772.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides caccae,99.29,0.88,99.29,0.88,97.3,taxonomic classification defined by topology and ANI,Bacteroides caccae
SRR9205777.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides caccae,99.25,0.85,99.25,0.85,98.01,taxonomic classification defined by topology and ANI,Bacteroides caccae
SRR9205781.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron,98.94,0.84,98.94,0.84,96.49,taxonomic classification defined by topology and ANI,Bacteroides thetaiotaomicron
SRR9205783.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron,98.97,0.85,98.97,0.85,96.49,taxonomic classification defined by topology and ANI,Bacteroides thetaiotaomicron
SRR9205791.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron,98.96,0.85,98.96,0.85,96.49,taxonomic classification defined by topology and ANI,Bacteroides thetaiotaomicron
SRR9205796.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron,98.98,0.83,98.98,0.83,96.49,taxonomic classification defined by topology and ANI,Bacteroides thetaiotaomicron
SRR9205802.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.21,0.84,97.21,0.84,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9205804.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.19,0.84,97.19,0.84,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9205807.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.22,0.85,97.22,0.85,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9205809.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.22,0.84,97.22,0.84,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9205810.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.24,0.82,97.24,0.82,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9205813.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis,99.05,0.87,99.05,0.87,96.15,taxonomic classification defined by topology and ANI,Bacteroides fragilis
SRR9205817.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis,98.7,0.82,98.7,0.82,95.99,taxonomic classification defined by topology and ANI,Bacteroides fragilis
SRR9205822.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis,98.64,0.82,98.64,0.82,96.13,taxonomic classification defined by topology and ANI,Bacteroides fragilis
SRR9205826.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,96.93,0.75,96.93,0.75,97.14,taxonomic classification defined by topology and ANI,Bacteroides ovatus
SRR9205827.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,96.93,0.75,96.93,0.75,97.14,taxonomic classification defined by topology and ANI,Bacteroides ovatus
SRR9205836.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis,99.04,0.87,99.04,0.87,96.15,taxonomic classification defined by topology and ANI,Bacteroides fragilis
SRR9205838.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis,99.07,0.87,99.07,0.87,96.15,taxonomic classification defined by topology and ANI,Bacteroides fragilis
SRR9205843.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,97.0,0.75,97.0,0.75,97.26,taxonomic classification defined by topology and ANI,Bacteroides ovatus
SRR9205864.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola dorei,98.79,0.85,98.79,0.85,84.28,taxonomic classification defined by topology and ANI,Phocaeicola dorei
